principal_diagnostic,icd_code
"Envenenamiento por, y exposicion a otras drogas que actuan sobre el sistema nervioso autonomo, de intencion no determinada: area industrial y de la construccion",Y136
"Envenenamiento por, y exposicion a otras drogas que actuan sobre el sistema nervioso autonomo, de intencion no determinada: granja",Y137
"Envenenamiento por, y exposicion a otras drogas que actuan sobre el sistema nervioso autonomo, de intencion no determinada: otro lugar especificado",Y138
"Envenenamiento por, y exposicion a otras drogas que actuan sobre el sistema nervioso autonomo, de intencion no determinada: lugar no especificado",Y139
"Envenenamiento por, y exposición a otras drogas, medicamentos y sustancias biológicas, y las no especificadas, de intención no determinada",Y14
"Envenenamiento por, y exposicion a otras drogas, medicamentos y sustancias biologicas, y las no especificadas, de intencion no determinada: vivienda",Y140
"Envenenamiento por, y exposicion a otras drogas, medicamentos y sustancias biologicas, y las no especificadas, de intencion no determinada: institucion residencial",Y141
"Envenenamiento por, y exposicion a otras drogas, medicamentos y sustancias biologicas, y las no especificadas, de intencion no determinada: escuelas otras instituciones y areas administrativas",Y142
"Envenenamiento por, y exposicion a otras drogas, medicamentos y sustancias biologicas, y las no especificadas, de intencion no determinada: areas de deporte y atletismo",Y143
"Envenenamiento por, y exposicion a otras drogas, medicamentos y sustancias biologicas, y las no especificadas, de intencion no determinada: calles y carreteras",Y144
"Envenenamiento por, y exposicion a otras drogas, medicamentos y sustancias biologicas, y las no especificadas, de intencion no determinada: comercio y area de servicios",Y145
"Envenenamiento por, y exposicion a otras drogas, medicamentos y sustancias biologicas, y las no especificadas, de intencion no determinada: area industrial y de la construccion",Y146
"Envenenamiento por, y exposicion a otras drogas, medicamentos y sustancias biologicas, y las no especificadas, de intencion no determinada: granja",Y147
"Envenenamiento por, y exposicion a otras drogas, medicamentos y sustancias biologicas, y las no especificadas, de intencion no determinada: otro lugar especificado",Y148
"Envenenamiento por, y exposicion a otras drogas, medicamentos y sustancias biologicas, y las no especificadas, de intencion no determinada: lugar no especificado",Y149
"Envenenamiento por, y exposición al alcohol, de intención no determinada",Y15
"Envenenamiento por, y exposicion al alcohol , de intencion no determinada: vivienda",Y150
"Envenenamiento por, y exposicion al alcohol , de intencion no determinada: institucion residencial",Y151
"Envenenamiento por, y exposicion al alcohol , de intencion no determinada: escuelas otras instituciones y areas administrativas",Y152
"Envenenamiento por, y exposicion al alcohol , de intencion no determinada: areas de deporte y atletismo",Y153
"Envenenamiento por, y exposicion al alcohol , de intencion no determinada: calles y carreteras",Y154
"Envenenamiento por, y exposicion al alcohol , de intencion no determinada: comercio y area de servicios",Y155
"Envenenamiento por, y exposicion al alcohol , de intencion no determinada: area industrial y de la construccion",Y156
"Envenenamiento por, y exposicion al alcohol , de intencion no determinada: granja",Y157
"Envenenamiento por, y exposicion al alcohol , de intencion no determinada: otro lugar especificado",Y158
"Envenenamiento por, y exposicion al alcohol , de intencion no determinada: lugar no especificado",Y159
"Envenenamiento por, y exposición a disolventes orgánicos e hidrocarburos halogenados y sus vapores, de intención no determinada",Y16
"Envenenamiento por, y exposicion a disolventes organicos e hidrocarburos halogenados y sus vapores, de intencion no determinada: vivienda",Y160
"Envenenamiento por, y exposicion a disolventes organicos e hidrocarburos halogenados y sus vapores, de intencion no determinada: institucion residencial",Y161
"Envenenamiento por, y exposicion a disolventes organicos e hidrocarburos halogenados y sus vapores, de intencion no determinada: escuelas, otras instituciones y areas administrativas",Y162
"Envenenamiento por, y exposicion a disolventes organicos e hidrocarburos halogenados y sus vapores, de intencion no determinada: areas de deporte y atletismo",Y163
"Envenenamiento por, y exposicion a disolventes organicos e hidrocarburos halogenados y sus vapores, de intencion no determinada: calles y carreteras",Y164
"Envenenamiento por, y exposicion a disolventes organicos e hidrocarburos halogenados y sus vapores, de intencion no determinada: comercio y area de servicios",Y165
"Envenenamiento por, y exposicion a disolventes organicos e hidrocarburos halogenados y sus vapores, de intencion no determinada: area industrial y de la construccion",Y166
"Envenenamiento por, y exposicion a disolventes organicos e hidrocarburos halogenados y sus vapores, de intencion no determinada: granja",Y167
"Envenenamiento por, y exposicion a disolventes organicos e hidrocarburos halogenados y sus vapores, de intencion no determinada: otro lugar especificado",Y168
"Envenenamiento por, y exposicion a disolventes organicos e hidrocarburos halogenados y sus vapores, de intencion no determinada: lugar no especificado",Y169
"Envenenamiento por, y exposición a otros gases y vapores, de intención no determinada",Y17
"Envenenamiento por, y exposicion a otros gases y vapores, de intencion no determinada: vivienda",Y170
"Envenenamiento por, y exposicion a otros gases y vapores, de intencion no determinada: institucion residencial",Y171
"Envenenamiento por, y exposicion a otros gases y vapores, de intencion no determinada: escuelas, otras instituciones y areas administrativas",Y172
"Envenenamiento por, y exposicion a otros gases y vapores, de intencion no determinada: areas de deporte y atletismo",Y173
"Envenenamiento por, y exposicion a otros gases y vapores, de intencion no determinada: calles y carreteras",Y174
"Envenenamiento por, y exposicion a otros gases y vapores, de intencion no determinada: comercio y area de servicios",Y175
"Envenenamiento por, y exposicion a otros gases y vapores, de intencion no determinada: area industrial y de la construccion",Y176
"Envenenamiento por, y exposicion a otros gases y vapores, de intencion no determinada: granja",Y177
"Envenenamiento por, y exposicion a otros gases y vapores, de intencion no determinada: otro lugar especificado",Y178
"Envenenamiento por, y exposicion a otros gases y vapores, de intencion no determinada: lugar no especificado",Y179
"Envenenamiento por, y exposición a plaguicidas, de intención no determinada",Y18
"Envenenamiento por, y exposicion a plaguicidas, de intencion no determinada: vivienda",Y180
"Envenenamiento por, y exposicion a plaguicidas, de intencion no determinada: institucion residencial",Y181
"Envenenamiento por, y exposicion a plaguicidas, de intencion no determinada: escuelas otras instituciones y areas administrativas",Y182
"Envenenamiento por, y exposicion a plaguicidas, de intencion no determinada: areas de deporte y atletismo",Y183
"Envenenamiento por, y exposicion a plaguicidas, de intencion no determinada: calles y carreteras",Y184
"Envenenamiento por, y exposicion a plaguicidas, de intencion no determinada: comercio y area de servicios",Y185
"Envenenamiento por, y exposicion a plaguicidas, de intencion no determinada: area industrial y de la construccion",Y186
"Envenenamiento por, y exposicion a plaguicidas, de intencion no determinada: granja",Y187
"Envenenamiento por, y exposicion a plaguicidas, de intencion no determinada: otro lugar especificado",Y188
"Envenenamiento por, y exposicion a plaguicidas, de intencion no determinada: lugar no especificado",Y189
"Envenenamiento por, y exposición a otros productos químicos y sustancias nocivas, y los no especificados, de intención no determinada",Y19
"Envenenamiento por, y exposicion a otros productos quimicos y sustancias nocivas, y los no especificados, de intencion no determinada: vivienda",Y190
"Envenenamiento por, y exposicion a otros productos quimicos y sustancias nocivas, y los no especificados, de intencion no determinada: institucion residencial",Y191
"Envenenamiento por, y exposicion a otros productos quimicos y sustancias nocivas, y los no especificados, de intencion no determinada: escuelas otras instituciones y areas administrativas",Y192
"Envenenamiento por, y exposicion a otros productos quimicos y sustancias nocivas, y los no especificados, de intencion no determinada: areas de deporte y atletismo",Y193
"Envenenamiento por, y exposicion a otros productos quimicos y sustancias nocivas, y los no especificados, de intencion no determinada: calles y carreteras",Y194
"Envenenamiento por, y exposicion a otros productos quimicos y sustancias nocivas, y los no especificados, de intencion no determinada: comercio y area de servicios",Y195
"Envenenamiento por, y exposicion a otros productos quimicos y sustancias nocivas, y los no especificados, de intencion no determinada: area industrial y de la construccion",Y196
"Envenenamiento por, y exposicion a otros productos quimicos y sustancias nocivas, y los no especificados, de intencion no determinada: granja",Y197
"Envenenamiento por, y exposicion a otros productos quimicos y sustancias nocivas, y los no especificados, de intencion no determinada: otro lugar especificado",Y198
"Envenenamiento por, y exposicion a otros productos quimicos y sustancias nocivas, y los no especificados, de intencion no determinada: lugar no especificado",Y199
"Ahorcamiento, estrangulamiento y sofocación, de intención no determinada",Y20
"Ahorcamiento, estrangulamiento y sofocacion, de intencion no determinada: vivienda",Y200
"Ahorcamiento, estrangulamiento y sofocacion, de intencion no determinada: institucion residencial",Y201
"Ahorcamiento, estrangulamiento y sofocacion, de intencion no determinada: escuelas otras instituciones y areas administrativas",Y202
"Ahorcamiento, estrangulamiento y sofocacion, de intencion no determinada: areas de deporte y atletismo",Y203
"Ahorcamiento, estrangulamiento y sofocacion, de intencion no determinada: calles y carreteras",Y204
"Ahorcamiento, estrangulamiento y sofocacion, de intencion no determinada: comercio y area de servicios",Y205
"Ahorcamiento, estrangulamiento y sofocacion, de intencion no determinada: area industrial y de la construccion",Y206
"Ahorcamiento, estrangulamiento y sofocacion, de intencion no determinada: granja",Y207
"Ahorcamiento, estrangulamiento y sofocacion, de intencion no determinada: otro lugar especificado",Y208
